,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Kiev,Kiev,GPE,-0.01587302,0.23809524,en,2.10000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
London,London,GPE,0.08730159,0.60317460,en,2.10000000,4074335-4,2643743,P,51.50853000,-0.12574000,EUROPE,United Kingdom,NEU
May.,May.,GPE,-0.00000000,0.34523810,en,2.10000000,,3489523,P,17.96454000,-77.24515000,CENTRAL-AMERICA,Jamaica,CAR
Ingrid,Ingrid,GPE,0.09375000,0.26875000,en,2.00000000,,6635439,T,-69.50000000,77.00000000,POLAR,Antarctica,EAN
Hong Kong,Hong Kong,GPE,0.16746411,0.55821372,en,1.90000000,1318138531,1819729,P,22.27832000,114.17469000,ASIA,Hong Kong,EAS
Washington,Washington,GPE,0.00000000,0.13157895,en,1.90000000,4064682-8,4140963,P,38.89511000,-77.03637000,NORTH-AMERICA,United States,ENA
Holland,Holland,GPE,0.13909774,0.81883280,en,1.90000000,4042203-3,2750405,A,52.25000000,5.75000000,EUROPE,The Netherlands,NEU
the Strait of Hormuz,the Strait of Hormuz,LOC,0.13157895,0.07894737,en,1.90000000,,0,,,,,,
Tehran,Tehran,GPE,0.08421053,0.70526316,en,1.90000000,4059304-6,112931,P,35.69439000,51.42151000,ASIA,Iran,WCA
Thailand,Thailand,GPE,0.02631579,0.31578947,en,1.90000000,4078228-1,1605651,A,15.50000000,101.00000000,ASIA,Thailand,SEA
Iraq,Iraq,GPE,-0.00438596,0.38596491,en,1.90000000,4072920-5,99237,A,33.00000000,44.00000000,ASIA,Iraq,WCA
the Tagus Valley,the Tagus Valley,LOC,0.00000000,0.21929825,en,1.90000000,,5400908,S,36.27384000,-119.36595000,NORTH-AMERICA,United States,WNA
NW,NW,GPE,0.02192982,0.13157895,en,1.90000000,,7648349,L,5.32500000,162.98500000,PACIFIC,Micronesia,EPO
Haiti,Haiti,GPE,0.39772727,0.56698565,en,1.90000000,4022974-9,3723988,A,19.07582000,-72.29616000,CENTRAL-AMERICA,Haiti,CAR
New Zealand,New Zealand,GPE,0.21258639,0.52538543,en,1.90000000,4041915-0,2186224,A,-42.00000000,174.00000000,OCEANIA,New Zealand,NZ
Itaipu,Itaipu,GPE,-0.24561404,0.36842105,en,1.90000000,4137899-4,6322979,A,-25.41349000,-54.42251000,SOUTH-AMERICA,Brazil,SES
Penafiel,Penafiel,GPE,0.00000000,0.00000000,en,1.90000000,,2736469,P,41.20835000,-8.28285000,EUROPE-AFRICA,Portugal,MED
the Central coast,the Central coast,LOC,0.00000000,0.23684211,en,1.90000000,,12217722,L,35.26068000,-120.16654000,NORTH-AMERICA,United States,WNA
Indonesia,Indonesia,GPE,-0.13157895,0.21052632,en,1.90000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Sicily,Sicily,GPE,0.13157895,0.13157895,en,1.90000000,4055193-3,2523118,T,37.62304000,13.93457000,EUROPE-AFRICA,Italy,MED
Farroupilha,Farroupilha,GPE,0.46052632,0.48245614,en,1.90000000,1278697152,3463605,P,-29.22500000,-51.34778000,SOUTH-AMERICA,Brazil,SES
Moscow,Moscow,GPE,-0.13815789,0.28289474,en,1.90000000,4074987-3,524901,P,55.75204000,37.61781000,EUROPE,Russia,WCE
Qatar,Qatar,GPE,-0.03289474,0.09868421,en,1.90000000,4029924-7,289688,A,25.50000000,51.25000000,ASIA,Qatar,ARP
Puerto Rico's,Puerto Rico's,GPE,-0.31578947,0.42982456,en,1.90000000,,6458700,S,18.45325000,-66.09247000,CENTRAL-AMERICA,Puerto Rico,CAR
Erechim,Erechim,GPE,0.05263158,0.21052632,en,1.90000000,,3464073,P,-27.63461000,-52.27540000,SOUTH-AMERICA,Brazil,SES
Alps,Alps,LOC,0.14473684,0.56578947,en,1.90000000,,0,,,,,,
Pinhão,Pinhão,GPE,0.07894737,0.31140351,en,1.90000000,10196107-8,3453776,A,-10.57105000,-37.78582000,SOUTH-AMERICA,Brazil,NES
Toronto,Toronto,GPE,0.06379585,0.44657097,en,1.90000000,4060459-7,6167865,P,43.70643000,-79.39864000,NORTH-AMERICA,Canada,ENA
Colorado River,Colorado River,LOC,0.04465710,0.34768740,en,1.90000000,,4013157,H,31.90000000,-114.95083000,CENTRAL-AMERICA,Mexico,NCA
Mindanao,Mindanao,GPE,0.11674641,0.28038278,en,1.90000000,4100996-4,1699597,T,7.66382000,125.13051000,ASIA,Philippines,SEA
the Central-West,the Central-West,LOC,0.09473684,0.40526316,en,1.90000000,,12110879,L,42.74936000,-96.39971000,NORTH-AMERICA,United States,CNA
Oklahoma,Oklahoma,GPE,0.14619883,0.53801170,en,1.90000000,4043423-0,4544349,P,35.46756000,-97.51643000,NORTH-AMERICA,United States,CNA
East,East,LOC,-0.20321637,0.46929825,en,1.90000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
SC,SC,GPE,0.12500000,1.05263158,en,1.90000000,,0,,,,,,
Limoeiro,Limoeiro,GPE,-0.05263158,0.05263158,en,1.90000000,4403761-2,6320542,A,-7.85092000,-35.44512000,SOUTH-AMERICA,Brazil,NES
Sorocaba,Sorocaba,GPE,-0.07986111,0.22569444,en,1.80000000,16155475-1,3447399,P,-23.50167000,-47.45806000,SOUTH-AMERICA,Brazil,SES
Central Portugal,Central Portugal,GPE,0.10873440,1.06506239,en,1.70000000,,2738722,T,40.50000000,-5.00000000,EUROPE-AFRICA,Spain,MED
Paranaense,Paranaense,GPE,0.14705882,0.19607843,en,1.70000000,,12070188,L,-25.73465000,-50.63550000,SOUTH-AMERICA,Brazil,SES
the El Niño,the El Niño,GPE,0.18672014,0.45900178,en,1.70000000,,12513655,L,-0.90231000,-89.52853000,PACIFIC,Ecuador,EPO
Londrina,Londrina,GPE,0.00000000,0.29411765,en,1.70000000,4036307-7,3458449,P,-23.31028000,-51.16278000,SOUTH-AMERICA,Brazil,SES
the Caribbean Sea,the Caribbean Sea,LOC,0.02941176,0.47058824,en,1.70000000,4051667-2,3448439,P,-23.54750000,-46.63611000,SOUTH-AMERICA,Brazil,SES
Córdoba,Córdoba,GPE,0.00000000,0.00000000,en,1.70000000,4213162-5,3860259,P,-31.40648000,-64.18853000,SOUTH-AMERICA,Argentina,SES
Leira,Leira,GPE,0.00000000,0.00000000,en,1.70000000,,9536026,P,62.12237000,6.58679000,EUROPE,Norway,NEU
Greece,Greece,GPE,0.00000000,0.00000000,en,1.70000000,4022047-3,390903,A,39.00000000,22.00000000,EUROPE-AFRICA,Greece,MED
New Jersey,New Jersey,GPE,0.26306818,0.87897727,en,1.60000000,4442932-0,5099836,P,40.72816000,-74.07764000,NORTH-AMERICA,United States,ENA
Artemis,Artemis,LOC,0.11458333,1.11111111,en,1.60000000,,6628833,T,-77.45000000,162.23333000,POLAR,Antarctica,EAN
Ecuador,Ecuador,GPE,0.36458333,0.48611111,en,1.60000000,4129321-6,3658394,A,-1.25000000,-78.25000000,SOUTH-AMERICA,Ecuador,NWS
Saudi Arabia,Saudi Arabia,GPE,0.12741477,0.54607008,en,1.60000000,4051788-3,102358,A,25.00000000,45.00000000,ASIA,Saudi Arabia,ARP
Milan,Milan,GPE,0.00000000,0.39062500,en,1.60000000,4037100-1,3173435,P,45.46427000,9.18951000,EUROPE,Italy,WCE
Viomundo,Viomundo,GPE,0.20549242,0.54608586,en,1.60000000,,0,,,,,,
Himalayas,Himalayas,GPE,0.05416667,0.63333333,en,1.60000000,,0,T,28.00000000,84.00000000,,,
the north coast,the north coast,LOC,0.00000000,0.00000000,en,1.60000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
Venus,Venus,LOC,0.39062500,1.33680556,en,1.60000000,,11351558,A,13.91558000,-61.01676000,CENTRAL-AMERICA,Saint Lucia,CAR
North America,North America,LOC,0.39062500,0.42968750,en,1.60000000,,0,,,,,,
Costa da Caparica,Costa da Caparica,GPE,0.06250000,0.15625000,en,1.60000000,4570545-8,7116497,P,38.64134000,-9.23221000,EUROPE-AFRICA,Portugal,MED
the Sahara Desert,the Sahara Desert,LOC,-0.07812500,0.33854167,en,1.60000000,,0,,,,,,
Americas,Americas,LOC,0.21875000,0.77083333,en,1.60000000,,0,,,,,,
Orbán,Orbán,GPE,0.10921717,0.57007576,en,1.60000000,,6035751,H,47.32139000,-76.24083000,NORTH-AMERICA,Canada,ENA
Norway,Norway,GPE,0.07812500,0.59375000,en,1.60000000,4042640-3,3144096,A,62.00000000,10.00000000,EUROPE,Norway,NEU
Olhar,Olhar,GPE,0.44375000,1.03680556,en,1.60000000,,0,,,,,,
Lagoa,Lagoa,GPE,-0.06250000,0.06250000,en,1.60000000,4732640-2,3372965,P,37.74486000,-25.57184000,ATLANTIC,Portugal,NAO
Colombia,Colombia,GPE,0.26562500,1.32812500,en,1.60000000,4031812-6,3686110,A,4.00000000,-73.25000000,SOUTH-AMERICA,Colombia,NWS
Guarulhos,Guarulhos,GPE,0.19230769,0.25641026,en,1.30000000,16086122-6,3461786,P,-23.46278000,-46.53333000,SOUTH-AMERICA,Brazil,SES
United Africa,United Africa,GPE,0.00000000,0.00000000,en,1.30000000,4029413-4,2233387,A,6.00000000,12.50000000,AFRICA,Cameroon,CAF
Vancouver,Vancouver,GPE,0.00000000,0.00000000,en,1.30000000,4119364-7,6173331,P,49.24966000,-123.11934000,NORTH-AMERICA,Canada,WNA
South Africa,South Africa,GPE,-0.05288462,0.44391026,en,1.30000000,4078012-0,953987,A,-29.00000000,24.00000000,AFRICA,South Africa,WSAF
the Tapajós River,the Tapajós River,LOC,0.19230769,0.25641026,en,1.30000000,,3386757,H,-2.40904000,-54.72402000,SOUTH-AMERICA,Brazil,NSA
